x,y,z,xh,yh,zh,f_xyz,image_name
501.0432567970276,52.83794021606443,87.60571617347719,166.77896788728586,-19.82371482133868,175.44469909998992,"[0,71,0,0,0,179634,868871,0]",pos2-3-visibility-20
501.0432567970276,102.83794021606442,87.60571617347719,171.18293001741444,-20.099023787744976,176.94881088660387,"[0,95425,0,49,43,0,953059,0]",pos2-3-visibility-70
501.0432567970276,52.83794021606443,87.60571617347719,162.02026169924622,46.270429146832726,-166.80217179220472,"[302917,0,162,103,287,244856,500251,0]",pos2-4-visibility-20
501.0432567970276,102.83794021606442,87.60571617347719,171.04804825350288,47.35141615568234,-173.3909974190476,"[392892,0,273,964,2799,42177,609291,180]",pos2-4-visibility-70
501.0432567970276,52.83794021606443,87.60571617347719,-179.45691305415093,47.69986596431003,179.59831141374337,"[245425,0,148,91,151968,463908,187036,0]",pos2-5-visibility-20
501.0432567970276,102.83794021606442,87.60571617347719,-169.9913418895823,47.26347036040725,172.61430505007385,"[524213,0,8058,13545,12904,259134,230368,354]",pos2-5-visibility-70
501.67124179763795,52.87556838989256,88.62231404048921,170.52781380612277,0.07325199464765203,-179.98777837607042,"[0,7,0,1482,883,273198,773006,0]",pos3-0-visibility-20
501.67124179763795,102.87556838989255,88.62231404048921,172.7021273645511,0.07366294102426324,-179.99056634224482,"[0,86738,0,1366,2584,23872,934016,0]",pos3-0-visibility-70
501.67124179763795,52.87556838989256,88.62231404048921,-179.87221924104932,0.07426436089122587,179.99983437576807,"[0,8,3101,25653,105733,421742,492339,0]",pos3-1-visibility-20
501.67124179763795,102.87556838989255,88.62231404048921,-177.65169633024422,0.07420217877280208,179.9969570736948,"[0,334701,0,1898,5170,60747,646060,0]",pos3-1-visibility-70
501.67124179763795,52.87556838989256,88.62231404048921,179.80536482249875,-20.299451418646047,179.93247563719817,"[0,520,0,7387,35577,496092,509000,0]",pos3-2-visibility-20
501.67124179763795,102.87556838989255,88.62231404048921,-175.62228050515694,-20.245149217162574,-178.48254451664235,"[0,416357,0,87,80,47131,584921,0]",pos3-2-visibility-70
501.67124179763795,52.87556838989256,88.62231404048921,166.76149927255676,-19.80254916796891,175.44314208079845,"[0,82,0,0,0,178572,869922,0]",pos3-3-visibility-20
501.67124179763795,102.87556838989255,88.62231404048921,171.1721891542276,-20.078400232774822,176.94804121262658,"[0,94623,0,47,42,0,953864,0]",pos3-3-visibility-70
501.67124179763795,52.87556838989256,88.62231404048921,161.96949799479972,46.414084376780814,-166.733149423992,"[302617,0,31,37,188,244397,501306,0]",pos3-4-visibility-20
501.67124179763795,102.87556838989255,88.62231404048921,171.02509416825256,47.501129934325135,-173.35814059668047,"[392059,0,237,866,2790,42243,610231,150]",pos3-4-visibility-70
501.67124179763795,52.87556838989256,88.62231404048921,-179.4478379595349,47.85117228623873,179.59061901988156,"[245277,0,29,32,158037,457699,187502,0]",pos3-5-visibility-20
501.67124179763795,102.87556838989255,88.62231404048921,-169.95092879436308,47.4114655109398,172.56672572434672,"[521497,0,7754,13212,13173,261445,231128,367]",pos3-5-visibility-70
497.18415429456235,53.20898056030271,92.37233800155641,170.51514225613357,-0.1237762972953991,179.97932059488852,"[0,1,0,693,772,276477,770633,0]",pos4-0-visibility-20
497.18415429456235,103.2089805603027,92.37233800155641,172.6956891246123,-0.12447348947154759,179.98404507217415,"[0,83400,0,1243,2488,24953,936492,0]",pos4-0-visibility-70
497.18415429456235,53.20898056030271,92.37233800155641,-179.85698762849535,-0.1254914769564434,-179.99968676826117,"[0,1,4336,8144,81577,465202,489316,0]",pos4-1-visibility-20
497.18415429456235,103.2089805603027,92.37233800155641,-177.63002058231976,-0.12538452674501738,-179.994810645648,"[0,331329,1,1625,5091,62890,647640,0]",pos4-1-visibility-70
497.18415429456235,53.20898056030271,92.37233800155641,179.83492116383266,-20.774274255692905,179.94144850969187,"[0,2554,2482,1073,67925,461789,512753,0]",pos4-2-visibility-20
497.18415429456235,103.2089805603027,92.37233800155641,-175.5654267830362,-20.717448283536292,-178.42848085391435,"[0,429019,0,87,89,34174,585207,0]",pos4-2-visibility-70
497.18415429456235,53.20898056030271,92.37233800155641,166.71357764787479,-20.264058039980895,175.32439320874505,"[0,133,0,0,0,173597,874846,0]",pos4-3-visibility-20
